Sector,Years of Operation,How Much They Raised,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype,failure,startup_id,week
Finance and Insurance,2110.5,5.25,1.05,0.0,1.05,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,1,8,1
Finance and Insurance,2211.0,5.5,1.1,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1,8,2
Finance and Insurance,2311.5,5.75,1.15,0.0,1.15,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,1,8,3
Finance and Insurance,2412.0,6.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1,8,4
Finance and Insurance,2512.5,6.25,1.25,0.0,1.25,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,1,8,5
Finance and Insurance,2613.0,6.5,1.3,0.0,1.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1,8,6
Finance and Insurance,2713.5,6.75,1.35,0.0,1.35,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,1,8,7
Finance and Insurance,2814.0,7.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1,8,8
Finance and Insurance,2914.5,7.25,1.45,0.0,1.45,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,1,8,9
Finance and Insurance,3015.0,7.5,1.5,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1,8,10
Finance and Insurance,3115.5,7.75,1.55,0.0,1.55,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,1,8,11
Finance and Insurance,3216.0,8.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1,8,12
Finance and Insurance,2114.7000000000003,10.5,1.05,0.0,1.05,1.05,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,1,9,1
Finance and Insurance,2215.4,11.0,1.1,0.0,1.1,1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1,9,2
Finance and Insurance,2316.1,11.5,1.15,0.0,1.15,1.15,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,1,9,3
Finance and Insurance,2416.7999999999997,12.0,1.2,0.0,1.2,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1,9,4
Finance and Insurance,2517.5,12.5,1.25,0.0,1.25,1.25,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,1,9,5
Finance and Insurance,2618.2000000000003,13.0,1.3,0.0,1.3,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1,9,6
Finance and Insurance,2718.9,13.5,1.35,0.0,1.35,1.35,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,1,9,7
Finance and Insurance,2819.6,14.0,1.4,0.0,1.4,1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1,9,8
Finance and Insurance,2920.2999999999997,14.5,1.45,0.0,1.45,1.45,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,1,9,9
Finance and Insurance,3021.0,15.0,1.5,0.0,1.5,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1,9,10
Finance and Insurance,3121.7000000000003,15.5,1.55,0.0,1.55,1.55,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,1,9,11
Finance and Insurance,3222.4,16.0,1.6,0.0,1.6,1.6,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1,9,12
Finance and Insurance,2112.6,15.75,1.05,0.0,1.05,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,1
Finance and Insurance,2213.2000000000003,16.5,1.1,0.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,2
Finance and Insurance,2313.7999999999997,17.25,1.15,0.0,1.15,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,3
Finance and Insurance,2414.4,18.0,1.2,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,4
Finance and Insurance,2515.0,18.75,1.25,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,5
Finance and Insurance,2615.6,19.5,1.3,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6
Finance and Insurance,2716.2000000000003,20.25,1.35,0.0,1.35,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,7
Finance and Insurance,2816.7999999999997,21.0,1.4,0.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,8
Finance and Insurance,2917.4,21.75,1.45,0.0,1.45,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,9
Finance and Insurance,3018.0,22.5,1.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,10
Finance and Insurance,3118.6,23.25,1.55,0.0,1.55,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,11
Finance and Insurance,3219.2000000000003,24.0,1.6,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,12
Finance and Insurance,2112.6,367.5,1.05,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.05,0.0,1,11,1
Finance and Insurance,2213.2000000000003,385.00000000000006,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,1,11,2
Finance and Insurance,2313.7999999999997,402.49999999999994,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,1.15,0.0,1,11,3
Finance and Insurance,2414.4,420.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,1,11,4
Finance and Insurance,2515.0,437.5,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,1,11,5
Finance and Insurance,2615.6,455.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,1,11,6
Finance and Insurance,2716.2000000000003,472.50000000000006,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,1,11,7
Finance and Insurance,2816.7999999999997,489.99999999999994,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.0,1,11,8
Finance and Insurance,2917.4,507.5,1.45,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.45,0.0,1,11,9
Finance and Insurance,3018.0,525.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,1,11,10
Finance and Insurance,3118.6,542.5,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,1.55,0.0,1,11,11
Finance and Insurance,3219.2000000000003,560.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.0,1,11,12
Finance and Insurance,2106.3,1.05,1.05,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,1,12,1
Finance and Insurance,2206.6000000000004,1.1,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,1,12,2
Finance and Insurance,2306.8999999999996,1.15,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,1,12,3
Finance and Insurance,2407.2,1.2,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1,12,4
Finance and Insurance,2507.5,1.25,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1,12,5
Finance and Insurance,2607.8,1.3,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1,12,6
Finance and Insurance,2708.1000000000004,1.35,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,1,12,7
Finance and Insurance,2808.3999999999996,1.4,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1,12,8
Finance and Insurance,2908.7,1.45,1.45,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,1,12,9
Finance and Insurance,3009.0,1.5,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1,12,10
Finance and Insurance,3109.3,1.55,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,1,12,11
Finance and Insurance,3209.6000000000004,1.6,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1,12,12
Finance and Insurance,2113.65,4.2,1.05,0.0,1.05,0.0,1.05,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,1,13,1
Finance and Insurance,2214.3,4.4,1.1,0.0,1.1,0.0,1.1,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1,13,2
Finance and Insurance,2314.95,4.6,1.15,0.0,1.15,0.0,1.15,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,1,13,3
Finance and Insurance,2415.6,4.8,1.2,0.0,1.2,0.0,1.2,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1,13,4
Finance and Insurance,2516.25,5.0,1.25,0.0,1.25,0.0,1.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,1,13,5
Finance and Insurance,2616.9,5.2,1.3,0.0,1.3,0.0,1.3,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1,13,6
Finance and Insurance,2717.55,5.4,1.35,0.0,1.35,0.0,1.35,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,1,13,7
Finance and Insurance,2818.2,5.6,1.4,0.0,1.4,0.0,1.4,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1,13,8
Finance and Insurance,2918.85,5.8,1.45,0.0,1.45,0.0,1.45,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,1,13,9
Finance and Insurance,3019.5,6.0,1.5,0.0,1.5,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1,13,10
Finance and Insurance,3120.15,6.2,1.55,0.0,1.55,0.0,1.55,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,1,13,11
Finance and Insurance,3220.8,6.4,1.6,0.0,1.6,0.0,1.6,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1,13,12
Finance and Insurance,2108.4,31.5,1.05,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,1
Finance and Insurance,2208.8,33.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,2
Finance and Insurance,2309.2,34.5,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,3
Finance and Insurance,2409.6,36.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,4
Finance and Insurance,2510.0,37.5,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,5
Finance and Insurance,2610.4,39.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,6
Finance and Insurance,2710.8,40.5,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,7
Finance and Insurance,2811.2,42.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,8
